Date,Usage [kW]_x,Generation [kW]_x,Net_Meter [kW],Volt [kW],Garage_E [kW],Garage_W [kW],Phase_A [kW]_x,Phase_B [kW]_x,Solar [kW]_x,Usage [kW]_y,Generation [kW]_y,WaterHeater [kW],Solar [kW]_y,Refrigerator [kW],Microwave [kW],Furnace [kW],WaterHeater3 [kW],WaterHeater2 [kW],WaterHeater1 [kW],Master_Bdrm [kW],Front_Bdrm [kW],Kit_StoveWall [kW],Dishwasher_Disposal [kW],Kit_SinkWall [kW],Family_Rm [kW],Kit_Half-Bath_Foyer [kW],Washing_Machine [kW],Guest_Bdrm_SmkDet [kW],Dryer [kW],Basement [kW],Phase_B [kW]_y,Phase_A [kW]_y
2016-01-01,2389.8251666830006,434.90565000200075,2275.9057166700013,719.5614001069997,0.7390334240000037,0.9513833849999874,1360.1786000220013,1029.6465666670003,434.90565000200075,162.83030111100004,30.129228890000004,0.504148889,30.129228890000004,7.378754448000001,0.7697688800000001,9.637010001999995,0.13861333400000003,0.07908889000000002,0.2912555569999999,0.9788299949999999,18.20955778,1.7703333320000003,4.371489999,0.6177499969999998,38.41078888999999,2.4618122139999996,0.205146669,3.1750966629999993,5.431524447999999,11.275257773999998,70.07930111099995,92.750999999
2016-01-02,1427.8999333370027,1743.282516661999,2368.3958500060035,32.29340013199943,0.038833467000000024,0.5107999950000037,760.0686499960012,667.831283331001,1743.282516661999,97.511697775,120.32111111300003,0.31390222699999976,120.32111111300003,6.123903329000003,0.421218897,11.53365444,0.08069777699999998,0.043979999,0.19329555599999998,0.9955777790000002,14.077927778000006,1.3762088849999994,0.040120000999999995,0.6343111059999998,24.322258888999993,1.7787644459999994,1.0280155539999998,2.6058622280000003,8.698952217000006,11.410537782000002,45.607324440999996,51.90437333399999
2016-01-03,1563.0345500349997,1062.2976499929982,1858.1400333850006,161.12933358800217,0.17050011399999948,0.5815500179999987,745.9490999670022,817.0854499480033,1062.2976499929982,102.73025333199999,73.85457778099995,0.2767977830000001,73.85457778099995,7.037861113000001,1.1738300030000004,10.022304451,0.07378222100000001,0.04605333399999998,0.16446000400000002,0.9260488840000002,22.714405551000002,0.3731233339999998,0.032863332999999995,0.63169444,20.521386670000002,1.8448689000000005,1.021055558,1.7912444440000002,7.926894442999999,10.343785552999998,53.889827778000004,48.84042555600001
2016-01-04,2610.471966671,1148.1766333529995,3292.872399996001,969.680533371003,0.9948667970000041,1.1046000099999997,1247.3340666600004,1363.1379000219986,1148.1766333529995,171.315772225,78.69808222599997,0.3801311119999999,78.69808222599997,6.850578886999999,0.6644988869999999,14.343898890000002,0.11487777699999997,0.068493335,0.2076666670000001,1.341751114,29.717370000000013,0.6667022210000002,5.087185559999999,0.5870655640000001,23.291855555999984,1.6784099940000001,0.9128033320000001,1.8840144420000002,7.9039244519999965,10.456702221,89.36881444199997,81.94695777500002
2016-01-05,2890.2581833219992,2356.0935833490053,4116.747599997997,951.4553999270044,0.9800501580000025,1.0978166630000037,1269.9206999959988,1620.3374833309986,2356.0935833490053,188.26462444400008,159.61160222300003,0.45967555300000007,159.61160222300003,6.978641114999999,0.8583633360000001,17.900881110999997,0.11273333399999996,0.08692000199999998,0.2666666609999998,1.2376500029999993,47.039251111,0.6770766659999999,0.03575221999999999,0.55392111,33.03874221900001,1.9420988900000005,0.25321333800000007,1.9131055529999996,0.26959777900000004,10.821487779999998,105.56518444000002,82.69944000299998
2016-01-06,1655.5626499930033,2311.2926166649972,3273.3044333259995,57.87573327900055,0.06925017999999986,0.5209333670000018,673.7682166669996,981.7944333539996,2311.2926166649972,108.15575555999999,156.79387778,0.370219997,156.79387778,6.279885558,0.5228544440000003,15.763666662999995,0.08512666900000002,0.06858889099999999,0.2279977790000001,1.5836544479999997,34.535754444,0.7844544389999997,0.03591999799999999,0.57887222,21.480131114999992,1.811040002,0.23560777800000002,1.8921533349999993,0.260643335,10.800347776999997,64.13868444599998,44.017071113000014
2016-01-07,2523.7958999849984,1737.7282000070013,3570.760400008995,957.1432999049997,0.984816805000003,1.1008834300000012,1171.056349998999,1352.7395500039986,1737.7282000070013,164.750038887,117.46363777599997,0.4290111110000001,117.46363777599997,6.945829996,0.8737577769999997,14.706712214999998,0.12057332999999998,0.07997333000000001,0.23664666900000003,1.418407779,31.369611106999987,0.7652488899999998,4.477212221999999,0.5912911129999998,22.502580002,1.856039997,0.233301112,1.9281355579999995,0.25927223099999996,10.702098890999999,88.34859333300001,76.401445555
2016-01-08,2680.1584333389965,770.4699166650014,2627.817450005996,954.5833998289991,0.9799334680000029,1.1028501020000014,1277.4807166629996,1402.6777166749996,770.4699166650014,173.31932222099988,52.304304446999986,0.38697111300000003,52.304304446999986,6.336732216000001,0.8956377850000002,14.526415558,0.10480444499999997,0.06346888900000001,0.22738222000000013,1.4141311160000005,30.577495561,0.677373334,0.036394441999999985,0.62027,24.765086674000003,1.8736922220000012,1.7676300010000008,1.8638311139999995,15.226138892000002,11.005901115000002,90.76500555300002,82.55431666699998
2016-01-09,1490.6320666489996,594.9672166699997,1631.3429500060029,293.35129983400003,0.3057334630000019,0.6770333039999932,705.7693999970007,784.8626666790007,594.9672166699997,96.346031109,40.497662220999985,0.2874511069999999,40.497662220999985,6.5921288890000005,0.6853088870000001,10.164616668999997,0.07685556299999999,0.05120888600000001,0.16471999900000006,1.0359422219999996,19.040156664999998,1.1288644460000001,0.025196670999999997,0.6869599970000005,24.466013334000007,1.71802889,0.22953999800000002,1.9660711100000006,0.27935555599999995,2.4619966669999993,50.722656666,45.62337444799999
2016-01-10,1538.0389166499988,102.62953333099996,1454.2375833159997,134.63223320899883,0.14468348099999953,0.5683666009999987,773.2819000189999,764.7570166510001,102.62953333099996,99.32169333700006,7.0702222180000005,0.43607111400000015,7.0702222180000005,5.904076668999999,1.5596366649999998,8.011898890999996,0.12228666599999997,0.082253335,0.23239777699999992,0.9462133260000005,20.996233332999996,0.5748288890000003,4.601221112000001,0.616024445,21.033410002000007,2.346902221,1.6771200029999989,1.8937944470000008,13.835978893000005,2.196341108000001,49.60226666600002,49.71942666700001
