18.93,2.35
19.8,2.44
22.28,2.16
22.57,2.1
25.62,2.02
26.64,2.01
27.3,1.82
27.6,2.0
28.46,1.97
29.27,1.8
29.75,1.95
29.96,1.99
30.18,1.93
30.75,1.9
30.84,1.82
31.06,1.94
31.17,1.73
31.19,1.92
31.23,1.89
31.75,1.95
31.78,1.87
32.29,1.85
32.62,1.76
33.02,1.76
33.16,1.77
33.43,2.06
33.44,1.92
33.58,1.74
34.03,1.57
35.01,1.63
35.04,1.81
35.32,1.83
35.81,1.76
36.26,1.71
36.62,1.63
36.73,1.62
37.95,1.75
38.32,1.41
38.55,0.0
39.18,0.07
39.2,1.71
39.36,1.48
39.65,1.67
40.03,1.63
40.78,0.71
40.86,0.04
41.02,1.61
41.83,0.07
41.84,0.0
42.17,1.54
42.62,0.0
42.68,0.06
43.03,0.0
43.09,0.17
43.79,1.5
44.2,1.43
44.54,0.06
45.71,0.21
46.09,0.22
46.76,1.25
47.46,1.43
47.51,0.2
47.76,0.21
48.64,0.08
48.78,0.0
48.85,0.16
49.05,0.08
49.17,0.0
49.79,0.1
49.91,0.0
49.92,0.0
50.02,0.09
50.5,0.06
50.66,0.06
50.76,0.0
50.83,0.08
50.98,0.09
51.48,0.99
52.33,1.02
52.38,1.24
52.49,0.17
53.47,0.0
53.64,0.05
53.8,1.23
54.3,1.15
54.33,1.02
54.71,0.0
55.08,1.14
55.26,1.16
55.36,0.0
55.49,0.0
55.51,0.0
56.13,0.0
56.36,0.0
56.88,0.0
57.62,0.0
57.85,0.22
58.82,0.0
60.06,0.79
60.23,0.0
60.26,1.48
60.36,0.18
60.68,0.0
60.88,0.15
61.34,1.25
61.83,1.22
61.96,0.22
62.56,0.36
62.98,0.17
63.0,0.29
63.09,0.0
63.56,0.0
63.6,0.31
63.87,0.23
63.91,0.4
64.43,0.16
64.72,0.38
65.0,0.17
65.26,0.18
65.45,0.0
65.58,0.16
66.18,0.24
66.27,0.32
66.51,1.21
66.67,1.03
67.24,0.0
67.25,0.42
67.37,0.22
68.68,0.32
68.76,0.95
69.22,0.21
69.87,0.25
71.42,0.32
72.04,0.43
73.23,0.39
73.47,0.39
73.99,0.94
75.81,0.36
76.64,1.02
76.68,0.3
