0.5,2.24
0.6,2.09
0.7,2.27
1.0,1.98
0.6,2.05
0.7,2.62
0.7,2.68
0.5,2.82
0.7,2.5
0.6,2.65
0.6,2.75
0.9,2.09
0.6,2.4
0.8,2.99
0.8,2.83
0.6,2.6
0.5,2.7
0.9,2.33
0.8,2.03
0.6,2.16
0.6,2.52
0.7,2.32
0.7,2.24
0.9,2.16
0.6,2.19
0.7,2.7
0.8,2.69
0.6,2.63
0.6,2.58
0.8,2.29
0.5,2.75
0.6,2.63
0.8,2.72
0.7,2.69
0.8,2.49
0.7,2.16
0.6,2.73
0.8,2.49
0.9,2.3
0.8,2.49
0.8,2.24
0.7,2.29
0.8,2.44
0.5,2.8
0.8,3.0
0.7,2.84
0.5,3.03
0.6,2.8
0.7,2.64
0.7,2.61
0.5,2.85
0.8,2.99
0.8,2.08
0.5,2.52
0.6,3.02
0.6,2.47
0.6,2.54
0.5,2.52
0.6,2.63
0.8,2.8
0.7,2.35
0.7,2.48
0.8,2.04
0.5,2.29
0.5,2.56
0.6,2.42
0.7,2.13
0.6,2.05
0.7,1.96
0.7,1.6
0.4,1.84
0.5,2.07
0.9,1.99
0.8,1.96
0.6,1.86
0.7,1.8
0.4,2.29
0.4,2.31
0.7,2.31
0.8,1.95
0.5,2.14
0.4,2.4
0.5,2.14
0.7,2.0
1.0,1.72
0.9,1.67
0.8,1.91
0.4,2.04
0.7,1.95
0.6,1.77
0.4,1.84
0.5,1.7
0.7,1.17
0.7,1.41
0.6,1.83
0.7,1.54
0.8,1.54
0.8,1.75
0.9,1.94
1.0,1.69
0.6,1.47
0.5,1.42
0.6,1.19
0.5,0.96
0.4,1.13
0.4,1.21
0.8,1.05
0.6,0.93
0.5,1.0
0.9,1.25
0.8,1.1
0.7,1.19
0.6,1.35
0.6,1.58
0.5,1.5
0.6,1.29
0.6,1.23
0.6,1.12
0.6,0.96
0.7,0.95
0.7,0.91
0.6,0.89
0.6,0.74
0.5,0.63
0.5,0.55
0.5,0.64
0.5,0.64
0.6,0.58
0.7,0.64
0.7,0.63
0.8,0.61
0.7,0.58
0.6,0.56
0.5,0.72
0.6,0.7
