50,1.0,2729758.0461504725,2016
51,2.0,2739185.3869665116,2016
52,3.0,2736936.9744669045,2016
53,4.0,2731615.187199854,2016
54,5.0,2713734.737150334,2016
55,6.0,2711702.5560665093,2016
56,7.0,2711752.2913829596,2016
57,8.0,2742213.8340174328,2016
58,9.0,2746919.5179496356,2016
59,10.0,2731934.117449211,2016
60,11.0,2742625.952749844,2016
61,12.0,2734063.78988349,2016
62,13.0,2713627.5695497743,2016
63,14.0,2722939.783799123,2016
64,15.0,2717620.3752838867,2016
65,16.0,2743263.573350317,2016
66,17.0,2720820.61798459,2016
67,18.0,2722542.7289337725,2016
68,19.0,2731814.513033304,2016
69,20.0,2730915.0760998055,2016
70,21.0,2742751.740784018,2016
71,22.0,2744797.216033253,2016
