Date,use [kW]_x,gen [kW]_x,old usage [kW],Home office [kW],Dining room [kW],Microwave [kW],First floor [kW],Tub Whirpool [kW],Kitchen counter [kW],Dishwasher [kW],Fridge [kW],Guest Bedroom / Media Room [kW],MBed KBed Lights &amp;  MasterBath  [kW],Living room &amp; Kitchen Lights [kW],Bath GFI (1st &amp; 2nd floor bath) [kW],use [kW]_y,gen [kW]_y,Grid [kW],AC [kW],Furnace [kW],Cellar Lights [kW],Washer [kW],First Floor lights [kW],Utility Rm + Basement Bath [kW],Garage outlets [kW],MBed + KBed outlets [kW],Dryer + egauge [kW],Panel GFI (central vac) [kW],Home Office (R) [kW],Dining room (R) [kW],Microwave (R) [kW],Fridge (R) [kW]
2015-01-01,0.0,0.0,0.384586113,0.27697777900000004,0.361582222,0.45023333200000004,0.855504446,0.020114998000000002,0.2775799989999999,0.07542389,2.8901772190000012,0.10760833500000001,0.6863927799999999,3.170723334,0.19492999800000002,28.324835559999997,0.0,28.324835559999997,0.047737223,8.563223337000002,0.4875761119999999,0.529122222,0.550201113,0.10821166500000003,0.22859111099999999,3.0083905549999983,5.497558889999998,0.014429443,0.31860333199999996,0.4189044450000001,0.522070558,3.1920511099999995
2015-01-02,0.0,0.0,0.355664446,0.23551111100000002,0.35083333599999994,0.367863333,0.8100033290000002,0.026825004,0.27219055900000005,2.000450001,3.417215556,0.12015333300000001,0.8926999999999999,3.195533336,0.201962221,42.843739446,0.0,42.843739446,0.08958888599999999,6.967547779000001,0.4803555579999999,0.29685777799999996,0.5573872260000002,0.12153833500000003,0.25602722299999997,17.092773333,5.513558886999999,0.025247224,0.276645552,0.4051494440000001,0.425898888,3.7656783330000003
2015-01-03,0.0,0.0,0.5550677759999999,0.4451277760000001,0.402288892,0.9232427770000001,0.9507511119999998,0.021501664,0.5132400030000001,0.146079998,3.732008333,0.10994000000000001,0.41041722200000014,3.8725061120000004,0.19512611300000002,39.855361112000004,0.0,39.855361112000004,0.05801999799999999,6.6957333330000015,0.526413888,0.5308472219999998,1.4456916679999998,0.131495557,0.25439389,10.253157218999998,8.604205557000002,0.021251667000000002,0.5105261109999999,0.469507775,1.027891112,4.110365001999999
2015-01-04,0.0,0.0,7.974451667000002,0.17744333199999998,0.323840558,0.271433332,0.51279389,0.019922222999999996,0.558454998,0.07218277899999999,3.690890557,7.797008336000001,0.49929222399999995,3.890403337,0.193398336,36.15125333299999,0.0,36.15125333299999,0.054874444,7.963863333,0.7633238859999998,0.024898330000000007,0.5467283330000001,0.11120333300000002,0.263118332,7.902094999999999,0.006865553,0.01830111,0.22106111,0.38265611499999996,0.31439999799999996,4.0739533329999995
2015-01-05,0.0,0.0,10.688341666000001,0.21477110700000002,0.34377111400000004,0.30844166700000003,0.775119999,0.029362778999999995,0.40672278200000006,2.3143905549999984,3.0454944450000005,10.473570556999997,1.0122966670000002,3.1015238859999994,0.202953331,43.229788333,0.0,43.229788333,0.05381722100000001,7.680852779,0.6119555560000001,0.22024444099999996,0.8331411140000001,0.12460777599999999,0.264138886,7.1579533349999975,4.181310002999999,0.01874,0.25902499999999995,0.400593335,0.3548322250000001,3.360844444
2015-01-06,0.0,0.0,7.997986669,0.18210666900000003,0.350456665,0.28423222299999995,0.45056166799999997,0.024785555,0.26474944699999997,0.06389777100000002,2.605943333,7.815879999000002,0.6956661099999998,3.373651665,0.19863222300000005,33.75686778199999,0.0,33.75686778199999,0.06644166599999998,11.676255554000004,0.426093334,0.014951108999999997,0.5210372229999999,0.10866277499999999,0.22929444599999999,3.869673888000001,0.003583336,0.017216110000000003,0.22499000300000005,0.411521111,0.328987223,2.881257224
2015-01-07,0.0,0.0,3.8877305590000004,0.48916111399999995,0.358625556,0.225604443,0.44401333499999995,0.027041113,0.27153333199999996,0.061752776999999995,2.6333355539999994,3.3985694450000006,0.620356667,3.1369883319999996,0.19993444500000004,35.36236722200001,0.0,35.36236722200001,0.07367999900000002,11.048734446,0.575242778,0.270842777,1.038812224,0.12349555400000001,0.25205944199999997,6.2665955570000005,3.6893899960000005,0.020410005000000002,0.55003389,0.415501113,0.27763444900000006,2.904819441
2015-01-08,0.0,0.0,0.35074111300000005,0.2370238899999999,0.34788000100000005,0.4458255530000002,0.784401666,0.027022220999999996,0.26878888700000003,0.064018887,2.9915450019999996,0.11371722199999999,0.8503955530000004,3.0928077769999995,0.236697223,35.332358887999995,0.0,35.332358887999995,0.09787555699999997,13.357263331999995,0.4776772229999999,0.029184448000000005,0.724857226,0.11273555600000001,0.264570003,10.433467223000003,0.006449998,0.022774444000000005,0.272818334,0.40581222100000003,0.517704446,3.3117305530000003
2015-01-09,0.0,0.0,0.325113332,0.21189666599999996,0.354946666,0.3721461099999999,0.62235889,0.026880005000000002,0.2742216649999999,2.213412775999999,2.9731700010000006,0.11321666599999995,0.6725866670000001,3.3396711119999996,0.224515558,27.983464997,0.0,27.983464997,0.062111666999999995,10.323104443,0.518601112,0.015881666000000003,0.725900549,0.111451666,0.268236667,4.227384997999999,0.0032000000000000006,0.016898889999999996,0.2569083350000001,0.40921833399999996,0.42622666800000003,3.2769166690000002
2015-01-10,0.0,0.0,0.42560888999999996,0.24390944399999998,0.362137225,0.490584444,0.452179443,0.025311670000000005,0.27635111,0.064680555,2.7534205580000006,0.181699445,0.738133333,3.5366550009999997,0.199831108,25.054002221,0.0,25.054002221,0.058639445000000005,10.674543891999999,0.562752223,0.011652774000000001,0.51544889,0.110735554,0.24675166499999993,2.939303893000001,0.002656669,0.018622223,0.29483111300000003,0.417499445,0.5486166669999999,3.043330000999999
