Date,use [kW]_x,gen [kW]_x,ElectricRange [kW],Dryer [kW],GarageMudroomLights [kW],DiningRoomOutlets [kW],MudroomOutlets [kW],MasterBathOutlets [kW],GarageOutlets [kW],BasementOutdoorOutlets [kW],use [kW]_y,gen [kW]_y,FurnaceHRV [kW],CellarOutlets [kW],WashingMachine [kW],FridgeRange [kW],DisposalDishwasher [kW],KitchenLights [kW],BedroomOutlets [kW],BedroomLights [kW],MasterOutlets [kW]_x,MasterLights [kW],DuctHeaterHRV [kW],use [kW],gen [kW],KitchenDenLights [kW],MasterBedBathLights [kW],MasterOutlets [kW]_y,DenOutdoorLights [kW],DenOutlets [kW],RearBasementLights [kW],KitchenOutletsEast [kW],KitchenOutletsSouth [kW],DishwasherDisposalSinkLight [kW],Refrigerator [kW],Microwave [kW],OfficeLights [kW]
2014-01-01,0,0,1.5891911159999998,0.26957777699999996,0.6210972219999997,0,0,0,0,0,0,0,13.168188331000003,2.542650554000001,1.45986222,3.1655066640000005,1.396152777,3.161360555,1.1425066639999997,1.113232774,2.2354505550000003,2.0635033350000005,14.729134444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-02,0,0,0.49179500099999984,0.29573388800000006,1.1034738899999996,0,0,0,0,0,0,0,7.395681110999999,2.453393335,0.5472622219999999,2.5456866689999997,1.543445002,2.961271666,0.89074,0.6917999969999998,2.1668566650000014,2.2387999950000004,15.753742777,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,0,0,1.3974861100000004,0.278026112,0.9554072230000005,0,0,0,0,0,0,0,12.901729998,2.155386109,0.275451108,3.3864916670000005,0.2660016679999999,3.528601669000001,0.9761972220000004,0.5334705559999999,2.118431109,1.0519783360000001,19.301131109999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-04,0,0,1.047623886,0.30416333399999995,0.9745927809999999,0,0,0,0,0,0,0,9.369002223999995,2.192585559,0.261068333,2.5113400020000003,1.8877566699999997,5.375318335,0.915125554,0.6868116689999998,2.1857994450000002,0.824674445,16.084087224999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-05,0,0,0.734733331,0.27308389099999997,1.008160001,0,0,0,0,0,0,0,6.797689999000001,2.465737222000001,0.8230233359999999,3.3997794449999987,1.374887777,2.911449442999999,0.7453455530000003,0.6407038870000002,2.072636110000001,0.921073333,14.862075557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-06,0,0,0.9581049989999997,0.31265389099999996,0.9614211120000004,0,0,0,0,0,0,0,5.211010001000003,2.5937633350000002,0.342859999,3.7344616690000003,0.24230555199999998,8.642644443000002,0.763227222,1.1501155570000001,1.9881272230000004,0.7959611149999999,13.257559443999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-07,0,0,0.6628016649999999,0.2893277809999999,1.033453889,0,0,0,0,0,0,0,7.983862223,2.433870001,0.27218277700000004,3.4684411109999997,1.8366188889999995,4.130489443,0.771772775,1.197076112,1.9271349979999994,0.9515538870000002,17.681403890000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-08,0,0,0.979150552,0.269447224,0.9487100010000001,0,0,0,0,0,0,0,11.641586669000002,2.3666422249999997,0.27550610999999986,2.411515,1.7102855559999999,3.1583861109999996,0.71881,0.850132779,2.1103899950000002,1.297351666,16.339835557000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-09,0,0,0.522354447,0.27866833499999993,1.073668888,0,0,0,0,0,0,0,12.927763332,2.355666663,0.27688055600000006,2.9553250000000006,0.261502222,2.7297388880000004,0.7656233349999998,0.6347877760000001,2.0094811089999998,1.0758722200000002,15.028955554000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-10,0,0,0.44859055499999995,0.3071638900000001,1.095407779,0,0,0,0,0,0,0,9.788187221,2.534936667000001,0.273973887,2.8847155579999995,1.834571111,4.470073888,0.702594446,0.766901113,1.9418344429999999,0.9474044450000001,14.17800222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-11,0,0,0.676717222,0.28761666599999997,0.6228672249999999,0,0,0,0,0,0,0,7.726678337000001,2.565656667,0.8356183339999999,3.1798461139999996,0.6631622219999997,6.737348891,0.864763891,1.0354683329999999,2.0418005559999997,1.3665288920000003,12.564747776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-12,0,0,1.199683331,0.2812566630000001,1.059937778,0,0,0,0,0,0,0,5.695607218000001,2.5539155580000004,1.4031788889999999,3.379298894,1.6321983349999998,4.638862220999999,0.811275552,0.5414472209999998,2.0907316639999998,1.144085556,13.107649998000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-13,0,0,1.016328891,0.312448337,1.0165944439999999,0,0,0,0,0,0,0,5.2880472219999985,2.6659944429999998,0.269792222,3.6877511140000006,1.589749446,4.0958672179999995,0.6970744449999999,0.8760100029999999,2.0074094459999996,0.9486272209999999,13.377308332999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-14,0,0,0.251185001,0.297487222,1.0808294460000003,0,0,0,0,0,0,0,4.705278888,2.531993333,0.268464447,3.2630916689999996,0.2469111140000001,4.846648334,0.7140872199999998,0.7842483309999999,2.014205001,0.5209305550000001,12.627205002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
