Date,use [kW]_x,gen [kW]_x,KitchenDenLights [kW],MasterBedBathLights [kW],MasterOutlets [kW]_x,DenOutdoorLights [kW],DenOutlets [kW],RearBasementLights [kW],KitchenOutletsEast [kW],KitchenOutletsSouth [kW],DishwasherDisposalSinkLight [kW],Refrigerator [kW],Microwave [kW],OfficeLights [kW],use [kW]_y,gen [kW]_y,FurnaceHRV [kW],CellarOutlets [kW],WashingMachine [kW],FridgeRange [kW],DisposalDishwasher [kW],KitchenLights [kW],BedroomOutlets [kW],BedroomLights [kW],MasterOutlets [kW]_y,MasterLights [kW],DuctHeaterHRV [kW],use [kW],gen [kW],ElectricRange [kW],Dryer [kW],GarageMudroomLights [kW],DiningRoomOutlets [kW],MudroomOutlets [kW],MasterBathOutlets [kW],GarageOutlets [kW],BasementOutdoorOutlets [kW]
2016-01-01,0,0,5.646694447,0.609556665,0.8850122239999998,0.04018111399999999,17.724607776999992,0.195032221,1.7531133330000015,1.02642889,6.203384443000001,7.707324448,2.4067988879999995,8.024646666999997,0,0,7.0574972229999995,3.1803116660000006,0.019563890000000004,0.060544445,0.008438889,0.0017338879999999998,0.6085444430000002,0.33615055499999996,0.6817261080000002,0.6923599999999999,0.0030405550000000003,0.0,0.0,86.29573333,4.644983323000019,19.61574999499994,7.823750022000014,19.90279999699996,7.015800044000015,9.220366642000016,0.8374832500000069
2016-01-02,0,0,6.924072220999999,0.9287244420000001,0.9887011130000001,0.13594666500000002,24.170823334999998,0.25604111600000007,1.6300566649999997,1.1694022190000004,5.426097776000001,7.389633335000002,1.4635322220000002,10.750254448,0,0,9.834216665000001,3.2433066650000004,0.023263330999999995,0.055068889,0.009198886000000003,0.0019372189999999998,0.6080027769999998,0.360173332,0.6748616720000001,0.7324838869999999,0.0034300010000000007,0.0,0.0,96.15041668600047,114.51093333299998,14.795616667000008,8.509850017999977,20.76631664500004,16.21098335899993,9.489899969999957,1.1835165900000013
2016-01-03,0,0,6.802527776000001,0.8209788849999999,0.87109333,0.060475557,6.334541112999999,0.5527777820000002,3.645768888,3.11530111,7.031116667000001,6.931966664,1.1673411139999996,9.977126672000002,0,0,9.100972778,3.4927205550000004,0.020121668000000002,0.04960055599999999,0.006596667000000002,0.0014755560000000003,0.503836108,0.266267223,0.5813066650000001,0.6958872219999999,0.0028116619999999995,0.0,0.0,5.603466656999995,5.433533354000018,23.590783340999977,7.755500003000032,24.971150016999943,7.011366672000018,9.511199986999992,12.723616608999826
2016-01-04,0,0,5.4707755559999995,0.766224445,1.4345633359999996,0.05781777800000002,2.08580667,0.18322000100000005,1.4564444429999999,1.941252222,2.5982388910000003,6.478844444,1.1511877799999997,6.00451444,0,0,13.173040001,3.483743891999999,0.03168222,0.051577220999999986,0.008430554,0.003184443,0.44928722200000004,0.4169833349999999,1.1649905580000002,0.7112538869999999,0.003767222999999999,0.0,0.0,5.45911663999999,5.470333327000022,11.276000007000004,2.7066166439999955,30.81066667800003,6.946649963000011,9.22211666899999,0.8367332800000117
2016-01-05,0,0,4.036022222999999,0.7292877780000001,0.8760988929999997,0.14606111,0.552573335,0.18946444600000004,1.725954448,1.2706977799999999,4.702325558,5.477234441,0.9244255570000001,8.889291111000002,0,0,11.383022781999998,3.463792776999999,0.026065002000000007,0.05228722400000001,0.006624446000000001,0.0013366699999999999,0.43585833199999996,0.288684447,0.492310554,0.6802999999999999,0.003086666,0.0,0.0,95.8609833429993,5.370083340000007,14.3574667,2.7024666819999985,42.85061667200015,6.982116716000015,9.996916660999974,0.8332832910000096
2016-01-06,0,0,4.351868885,0.601376665,0.8741266670000005,0.19744000299999998,0.875355557,0.181402221,1.6101188919999991,1.3719422219999995,6.314327777,5.946612225999999,1.201940002,9.827493334000001,0,0,10.110702221999999,3.5568977779999997,0.021566667000000005,0.05198499800000001,0.006034999000000002,0.001224447,0.44733278,0.265876664,0.504293338,0.6945838920000001,0.002847223,0.0,0.0,5.314999993999987,5.492766669000023,12.609733326999981,2.664249973999984,28.615383369999968,7.006149974000032,10.202249987999968,0.8460332860000093
2016-01-07,0,0,3.750886664,0.5585433259999999,0.956591108,0.06566333299999998,0.7277599979999998,0.18134000100000006,1.4583333279999993,2.4316933319999996,4.122832219,6.670452223999998,0.46702333799999973,5.752431111000002,0,0,8.628474444,3.600248886,0.018300552999999997,0.047963335,0.005380555999999999,0.000975557,0.436035003,0.273402777,0.5065794450000001,0.7097466650000002,0.002586667000000001,0.0,0.0,5.296916664999975,5.508999977000028,11.414416635999991,2.6535333479999905,19.826000027000035,6.951049961999987,9.149850009000021,0.8356499310000074
2016-01-08,0,0,4.424434443,0.643431115,0.8705222189999998,0.10400333600000002,1.1455288890000006,0.19008000200000005,1.451422223,2.716519999999999,4.7389488879999995,6.436133330999999,0.44912111099999985,7.323019999000001,0,0,9.790348332999995,3.6358405560000007,0.021298886999999996,0.048664443,0.006130557,0.001207221,0.42946222100000003,0.2658738910000001,0.4906138910000001,0.701033334,0.0028905550000000012,0.0,0.0,124.54170001199962,95.2511333199997,14.89248333300001,2.685716688,26.34908330999999,13.716733361000003,9.69321666199998,0.806566624000005
2016-01-09,0,0,5.1871755560000015,0.9067288880000001,0.8526044440000002,0.068698889,0.7458199950000003,0.19574888900000006,1.6427655510000005,1.278685553,3.0294188849999992,5.023981112000001,1.1899322199999998,7.659593334000002,0,0,4.544592779000001,3.55672389,0.00623111,0.051106667999999994,0.004865555999999999,0.0008250010000000001,0.4416116680000002,0.261075001,0.5359772189999998,0.775075554,0.002228889,0.0,0.0,5.05581666499998,389.96503333499965,28.490249985999984,2.6512166729999977,14.757833353999926,26.158466690000168,9.534266651000022,0.7553832820000039
2016-01-10,0,0,5.898580003999999,0.7449233379999998,0.9896200020000002,0.06313666599999998,1.0320944399999998,0.19660888899999995,1.4302433339999994,0.9296933330000001,5.125665561,7.8995755500000016,1.2778611089999998,7.953378890000001,0,0,3.5301338889999996,3.8044738860000002,0.0044538880000000005,0.09957333300000003,0.004183887000000001,0.0007116670000000001,0.45616500099999996,0.310555553,0.530051665,0.719173889,0.002034446,0.0,0.0,5.1013333479999785,365.25143332300206,21.098966693000005,2.706816639999994,30.287883348000133,34.54078337700004,9.554999992000017,0.7531999810000043
